tconst,averageRating,numVotes
tt10070748,7.9,15
tt10070756,7.4,5
tt10070802,9.0,89
tt10070886,6.6,38
tt10070892,7.0,35
tt10071006,8.8,15
tt10071238,7.0,39
tt10071346,8.6,8
tt10071354,8.7,6
tt10071366,8.1,7
tt10071374,8.7,7
tt10071376,7.8,9
tt10071462,4.8,6
tt10071522,7.4,5
tt10071592,6.3,9
tt10071712,7.1,14
tt10071818,7.2,14
tt10071862,3.1,18
tt10071890,9.6,8
tt10072570,5.6,7
tt10072712,6.2,9
tt10073008,7.1,15
tt10073114,9.3,1492
tt10073130,6.9,10
tt10073170,5.7,7
tt10073222,7.9,8
tt10073494,2.5,6
tt10073504,2.5,6
tt10073688,5.7,9
tt10073692,6.2,8
tt10073696,6.3,9
tt10073698,6.6,9
tt10073700,6.6,10
tt10073720,9.7,85
tt10073726,9.2,42
tt10073730,8.7,40
tt10073736,8.3,43
tt10073898,5.8,6
